,abv,ibu,id,name,style,brewery_id,ounces
2130,0.06,,1950,Dragonfly IPA,American IPA,202,16
2131,0.068,24,2563,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,51,19.2
2132,0.076,,2561,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,American Brown Ale,51,19.2
2133,0.06,,2560,Blood Orange Saison,Saison / Farmhouse Ale,51,12
2134,0.065,33,1932,Thai Style White IPA,American White IPA,51,12
2135,0.075,30,1853,Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,51,19.2
2136,0.082,,907,Upslope Christmas Ale,Winter Warmer,51,16
2137,0.077,,906,Upslope Pumpkin Ale,Pumpkin Ale,51,16
2138,0.075,30,683,Upslope Belgian Style Pale Ale,Belgian Pale Ale,51,12
2139,0.069,,614,Upslope Foreign Style Stout,Foreign / Export Stout,51,12
2140,0.048,15,466,Top Rope Mexican-style Craft Lager,Vienna Lager,51,12
2141,0.048,22,444,Upslope Craft Lager,Vienna Lager,51,12
2142,0.067,,345,Upslope Brown Ale,English Brown Ale,51,12
2143,0.058,,80,Upslope Pale Ale,American Pale Ale (APA),51,12
2144,0.072,,79,Upslope India Pale Ale,American IPA,51,12
2145,0.053,22,382,Common Sense Kentucky Common Ale,American Brown Ale,546,16
2146,0.065,70,381,Upstate I.P.W.,American IPA,546,12
2147,0.04,,1826,Squatters Full Suspension Pale Ale,American Pale Ale (APA),302,12
2148,0.08,,1824,Devastator Double Bock,Doppelbock,302,12
2149,0.06,,1823,Wasatch Ghostrider White IPA,American White IPA,302,12
2150,0.06,,1682,Wasatch Ghostrider White IPA (2014),American White IPA,302,12
2151,0.04,,1681,Wasatch Apricot Hefeweizen,Fruit / Vegetable Beer,302,12
2152,0.04,,1679,Squatters Full Suspension Pale Ale,American Pale Ale (APA),302,12
2153,0.068,,2245,Nunica Pine,Cider,185,16
2154,0.069,,2244,Ginger Peach,Cider,185,16
2155,0.068,,1378,Totally Roasted,Cider,185,16
2156,0.068,,1377,Blue Gold,Cider,185,16
2157,0.068,,1376,Hard Apple,Cider,185,16
2158,0.052,,2411,Nitro Can Coffee Stout,American Stout,113,12
2159,0.079,23,1769,White Magick of the Sun,Witbier,322,12
2160,0.075,31,1730,Wynona's Big Brown Ale,American Brown Ale,322,12
2161,0.073,85,1603,Good Vibes IPA,American IPA,322,12
2162,0.075,85,1488,Pilzilla,American Double / Imperial Pilsner,322,12
2163,0.04,37,1846,Wachusett Light IPA,American IPA,295,12
2164,0.06,55,1845,Green Monsta IPA,American IPA,295,12
2165,0.056,50,1844,Wachusett IPA,American IPA,295,12
2166,0.047,,1843,Strawberry White,Witbier,295,12
2167,0.047,,1038,Wachusett Summer,American Pale Wheat Ale,295,12
2168,0.051,17,1030,Country Pale Ale,English Pale Ale,295,12
2169,0.04,37,1029,Wachusett Light IPA (2013),American IPA,295,12
2170,0.052,20,908,Pumpkan,Pumpkin Ale,295,12
2171,0.045,10,619,Wachusett Blueberry Ale,Fruit / Vegetable Beer,295,12
2172,0.06,55,618,Green Monsta IPA,American IPA,295,12
2173,0.047,,780,T-6 Red Ale (2004),American Amber / Red Ale,506,12
2174,0.052,67,2450,Self Starter,American IPA,94,16
2175,0.054,20,2223,Ermal's,Cream Ale,94,16
2176,0.07,,2222,10 Ton,Oatmeal Stout,94,16
2177,0.07,,2221,Flyin' Rye,American IPA,94,16
2178,0.07,,2356,Pay It Forward Cocoa Porter,American Porter,100,12
2179,0.055,,1069,West Sixth Amber Ale,American Amber / Red Ale,100,12
2180,,,652,West Sixth IPA,American IPA,100,12
2181,0.055,,1542,One Claw,American Pale Ale (APA),384,12
2182,0.04,5,1312,Westbrook Gose,Gose,384,12
2183,0.05,16,576,White Thai,Witbier,384,12
2184,0.068,65,575,Westbrook IPA,American IPA,384,12
2185,0.057,22,1645,Westfield Octoberfest,Märzen / Oktoberfest,351,12
2186,0.052,,1551,Pop's Old Fashioned Lager,American Amber / Red Lager,351,12
2187,0.058,55,1550,Charlie in the Rye,American IPA,351,12
2188,,,2364,Royal Lager,American Pale Lager,132,16
2189,0.08,,2348,Rip Van Winkle (Current),Bock,132,12
2190,,,2344,O’Malley’s Stout,English Stout,132,12
2191,0.075,89,2343,O’Malley’s IPA,American IPA,132,12
2192,,,2342,O’Malley’s Irish Style Cream Ale,Cream Ale,132,12
2193,0.049,28,2341,L'il Lucy's Hot Pepper Ale,Chile Beer,132,12
2194,0.052,,2340,Drop Kick Ale,American Amber / Red Ale,132,12
2195,0.055,,2573,Raspberry Berliner Weisse,Berliner Weissbier,47,12
2196,0.05,,2572,Hop Session,American IPA,47,12
2197,0.055,,2571,Blueberry Berliner Weisse,Berliner Weissbier,47,12
2198,0.055,,2570,Berliner Weisse,Berliner Weissbier,47,12
2199,0.06,,1498,Super G IPA,American IPA,396,16
2200,0.049,30,1838,Hefe Lemon,Radler,296,12
2201,0.049,30,1837,Hefe Black,Hefeweizen,296,12
2202,0.049,30,1836,Widmer Brothers Hefeweizen,Hefeweizen,296,12
2203,0.082,100,1619,Hop Slayer Double IPA,American Double / Imperial IPA,361,12
2204,0.045,,1618,Pumpkin Ale,Pumpkin Ale,361,12
2205,0.05,,1364,Big Bowl Blonde Ale,American Brown Ale,361,12
2206,0.052,27,971,Phat Chance,American Blonde Ale,361,12
2207,0.082,100,740,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12
2208,0.082,100,430,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12
2209,0.042,13,398,Wild Onion Summer Wit,Witbier,361,12
2210,0.06,23,366,Jack Stout,Oatmeal Stout,361,12
2211,0.045,,334,Wild Onion Pumpkin Ale (2010),Pumpkin Ale,361,12
2212,0.056,41,162,Paddy Pale Ale,American Pale Ale (APA),361,12
2213,0.068,21,2253,Blonde Hunny,Belgian Pale Ale,181,12
2214,0.057,20,1318,Wild Wolf Wee Heavy Scottish Style Ale,Scotch Ale / Wee Heavy,181,12
2215,0.045,25,1195,Wild Wolf American Pilsner,American Pilsner,181,12
2216,0.051,45,1194,Alpha Ale,American Pale Ale (APA),181,12
2217,0.054,,826,Mystical Stout,Irish Dry Stout,499,16
2218,0.075,,825,Bodacious Bock,Bock,499,16
2219,0.05,,813,Ambitious Lager,Munich Helles Lager,499,16
2220,0.072,,324,Wyoming Pale Ale,American Pale Ale (APA),550,16
2221,0.05,,323,Wind River Blonde Ale,American Blonde Ale,550,16
2222,0.074,83,762,Ace IPA,American IPA,509,16
2223,0.08,31,761,P-51 Porter,American Porter,509,16
2224,0.055,,2149,#001 Golden Amber Lager,American Amber / Red Lager,211,12
2225,0.071,60,2148,#002 American I.P.A.,American IPA,211,12
2226,0.052,,2147,#003 Brown & Robust Porter,American Porter,211,12
2227,0.048,38,2146,#004 Session I.P.A.,American IPA,211,12
2228,0.059,,2047,Tarasque,Saison / Farmhouse Ale,239,12
2229,0.062,61,1470,Ananda India Pale Ale,American IPA,239,12
2230,0.045,23,1469,Tiny Bomb,American Pilsner,239,12
2231,0.058,72,2627,Train Hopper,American IPA,14,12
2232,0.045,,2626,Edward’s Portly Brown,American Brown Ale,14,12
2233,0.059,135,1676,Troopers Alley IPA,American IPA,344,12
2234,0.047,15,1468,Wolverine Premium Lager,American Pale Lager,402,12
2235,0.05,,822,Woodchuck Amber Hard Cider,Cider,501,12
2236,0.065,82,2417,4000 Footer IPA,American IPA,109,12
2237,0.065,69,1697,Be Hoppy IPA,American IPA,339,16
2238,0.069,69,2194,Worthy IPA,American IPA,199,12
2239,0.045,25,1514,Easy Day Kolsch,Kölsch,199,12
2240,0.077,30,1513,Lights Out Vanilla Cream Extra Stout,American Double / Imperial IPA,199,12
2241,0.069,69,1512,Worthy IPA (2013),American IPA,199,12
2242,0.06,50,1511,Worthy Pale,American Pale Ale (APA),199,12
2243,0.042,,1345,Patty's Chile Beer,Chile Beer,424,12
2244,0.082,,1316,Colorojo Imperial Red Ale,American Strong Ale,424,12
2245,0.055,,1045,Wynkoop Pumpkin Ale,Pumpkin Ale,424,12
2246,0.075,,1035,Rocky Mountain Oyster Stout,American Stout,424,12
2247,0.067,45,928,Belgorado,Belgian IPA,424,12
2248,0.052,,807,Rail Yard Ale,American Amber / Red Ale,424,12
2249,0.055,,620,B3K Black Lager,Schwarzbier,424,12
2250,5.5,40,145,Silverback Pale Ale,American Pale Ale (APA),424,12
2251,0.052,,84,Rail Yard Ale (2009),American Amber / Red Ale,424,12
